Código da Planilha;Primeira Camada SIOPE;Segunda Camada SIOPE;Terceira Camada SIOPE;Quarta Camada SIOPE;Quinta Camada SIOPE;Observação/Regra
1533;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (Impostos e Transferências) ;Educação Infantil (Pré-Escola) ;367 - Educação Especial
1534;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (Impostos e Transferências) ;Educação Infantil (Pré-Escola) ;782 - Transporte Escolar
1405;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (VAAF) ;Ensino Fundamental ;122 - Administração Geral
346;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (VAAF) ;Ensino Fundamental ;306 - Alimentação e Nutrição - Merenda Escolar
32;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (VAAF) ;Ensino Fundamental ;361 - Ensino Fundamental
1421;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (VAAF) ;Ensino Fundamental ;366 - Educação de Jovens e Adultos
1422;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (VAAF) ;Ensino Fundamental ;367 - Educação Especial
348;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (VAAF) ;Ensino Fundamental ;782 - Transporte Escolar
1406;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (VAAF) ;Educação Infantil (Creche) ;122 - Administração Geral
728;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (VAAF) ;Educação Infantil (Creche) ;306 - Alimentação e Nutrição - Merenda Escolar
730;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (VAAF) ;Educação Infantil (Creche) ;365 - Educação Infantil
1423;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (VAAF) ;Educação Infantil (Creche) ;367 - Educação Especial
732;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (VAAF) ;Educação Infantil (Creche) ;782 - Transporte Escolar
1407;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (VAAF) ;Educação Infantil (Pré-Escola) ;122 - Administração Geral
357;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (VAAF) ;Educação Infantil (Pré-Escola) ;306 - Alimentação e Nutrição - Merenda Escolar
359;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (VAAF) ;Educação Infantil (Pré-Escola) ;365 - Educação Infantil
1424;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (VAAF) ;Educação Infantil (Pré-Escola) ;367 - Educação Especial
361;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (VAAF) ;Educação Infantil (Pré-Escola) ;782 - Transporte Escolar
1410;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (VAAT) ;Ensino Fundamental ;122 - Administração Geral
1345;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (VAAT) ;Ensino Fundamental ;306 - Alimentação e Nutrição - Merenda Escolar
1346;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (VAAT) ;Ensino Fundamental ;361 - Ensino Fundamental
1425;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (VAAT) ;Ensino Fundamental ;366 - Educação de Jovens e Adultos
1426;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (VAAT) ;Ensino Fundamental ;367 - Educação Especial
